,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
1335,5BZQJ0938-0708,09 38 56.09,-07 08 00.59
1336,5BZQJ0939+4141,09 39 49.61,+41 41 54.2
1337,5BZBJ0940+2603,09 40 14.71,+26 03 29.91
1338,5BZGJ0940+6148,09 40 22.44,+61 48 26.2
1339,5BZQJ0941-1335,09 41 02.54,-13 35 51.0
1340,5BZQJ0941+2728,09 41 48.11,+27 28 38.78
1341,5BZBJ0941+2722,09 41 52.4,+27 22 17.79
1342,5BZQJ0941-8615,09 41 55.61,-86 15 01.8
1343,5BZQJ0942+6403,09 42 03.9,+64 03 11.3
1344,5BZBJ0942-0759,09 42 21.46,-07 59 53.19
1345,5BZBJ0942+2844,09 42 23.29,+28 44 14.38
1346,5BZBJ0942+5416,09 42 45.29,+54 16 20.49
1347,5BZQJ0943+1702,09 43 17.22,+17 02 18.88
1348,5BZBJ0943-0709,09 43 55.56,-07 09 50.18
1349,5BZBJ0944+5735,09 44 32.33,+57 35 36.09
1350,5BZBJ0944+5557,09 44 41.46,+55 57 52.88
1351,5BZBJ0944-1347,09 44 59.38,-13 47 51.68
1352,5BZQJ0945+4636,09 45 42.09,+46 36 50.61
1353,5BZBJ0945+5757,09 45 42.23,+57 57 47.7
1354,5BZBJ0946+4735,09 46 04.46,+47 35 10.1
1355,5BZGJ0946+5819,09 46 14.5,+58 19 37.59
1356,5BZBJ0946+0104,09 46 20.21,+01 04 51.99
1357,5BZQJ0946+1017,09 46 35.05,+10 17 06.1
1358,5BZBJ0947+2215,09 47 38.58,+22 15 33.3
1359,5BZBJ0947+3453,09 47 40.32,+34 53 45.2
1360,5BZQJ0947-7731,09 47 51.49,-77 31 35.29
1361,5BZQJ0948-3223,09 48 09.51,-32 23 47.4
1362,5BZGJ0948+5535,09 48 32.0,+55 35 35.3
1363,5BZQJ0948+4039,09 48 55.33,+40 39 44.6
1364,5BZQJ0948+0022,09 48 57.31,+00 22 25.5
1365,5BZQJ0949+1752,09 49 39.76,+17 52 49.29
1366,5BZGJ0950+1804,09 50 00.29,+18 04 18.69
1367,5BZBJ0950+0615,09 50 03.47,+06 15 03.81
1368,5BZBJ0950+4553,09 50 11.81,+45 53 20.11
1369,5BZBJ0951+0102,09 51 27.8,+01 02 10.21
1370,5BZQJ0951-2123,09 51 43.55,-21 23 57.98
1371,5BZBJ0952+3936,09 52 14.7,+39 36 15.91
1372,5BZBJ0952+7502,09 52 24.14,+75 02 13.48
1373,5BZQJ0952+5048,09 52 27.3,+50 48 50.61
1374,5BZQJ0952-2453,09 52 31.64,-24 53 50.89
1375,5BZQJ0952+3512,09 52 32.03,+35 12 52.41
1376,5BZBJ0952+6538,09 52 32.17,+65 38 01.21
1377,5BZBJ0953-0840,09 53 02.69,-08 40 18.4
1378,5BZQJ0953+3225,09 53 27.95,+32 25 51.59
1379,5BZQJ0953+1720,09 53 59.22,+17 20 56.61
1380,5BZBJ0954+4914,09 54 09.85,+49 14 59.49
1381,5BZUJ0954-0503,09 54 27.35,-05 03 32.29
1382,5BZUJ0954+5719,09 54 55.56,+57 19 52.78
1383,5BZBJ0955+0833,09 55 01.86,+08 33 42.19
1384,5BZUJ0955+4838,09 55 04.99,+48 38 18.99
1385,5BZBJ0955+3551,09 55 07.87,+35 51 00.79
1386,5BZQJ0955-1845,09 55 14.68,-18 45 31.89
1387,5BZQJ0955+4532,09 55 39.83,+45 32 17.01
1388,5BZBJ0956+0156,09 56 49.55,+01 56 01.78
1389,5BZQJ0956+2515,09 56 49.87,+25 15 16.09
1390,5BZQJ0957-1350,09 57 18.17,-13 50 01.21
1391,5BZQJ0957-0156,09 57 27.2,-01 56 54.59
1392,5BZQJ0957+5522,09 57 38.17,+55 22 57.79
1393,5BZBJ0958-0317,09 58 05.99,-03 17 40.2
1394,5BZQJ0958+4725,09 58 19.67,+47 25 07.78
1395,5BZQJ0958+5039,09 58 37.8,+50 39 57.49
1396,5BZQJ0958-4110,09 58 38.29,-41 10 33.2
1397,5BZBJ0958+6533,09 58 47.25,+65 33 54.79
1398,5BZBJ0959+2123,09 59 29.88,+21 23 20.0
1399,5BZUJ1000+2233,10 00 21.79,+22 33 18.61
1400,5BZBJ1000+5746,10 00 50.21,+57 46 09.19
1401,5BZBJ1001+2911,10 01 10.2,+29 11 37.5
1402,5BZQJ1001+3424,10 01 11.94,+34 24 50.5
1403,5BZGJ1001+2048,10 01 42.41,+20 48 18.21
1404,5BZQJ1001+1015,10 01 57.73,+10 15 49.71
1405,5BZQJ1001-4438,10 01 59.9,-44 38 00.59
1406,5BZBJ1002+2216,10 02 34.42,+22 16 14.91
1407,5BZQJ1002+1216,10 02 52.85,+12 16 14.59
1408,5BZQJ1003+6813,10 03 06.77,+68 13 16.78
1409,5BZQJ1003+3244,10 03 57.55,+32 44 03.51
1410,5BZQJ1004+4626,10 04 12.85,+46 26 22.59
1411,5BZBJ1004+3752,10 04 44.76,+37 52 11.89
1412,5BZQJ1004-0119,10 04 45.53,-01 19 17.0
1413,5BZQJ1006-7409,10 06 04.14,-74 09 44.1
1414,5BZBJ1006+6440,10 06 12.22,+64 40 11.49
1415,5BZQJ1006+0509,10 06 37.61,+05 09 54.0
1416,5BZQJ1006-2159,10 06 46.4,-21 59 20.4
1417,5BZBJ1006+3454,10 06 56.41,+34 54 45.1
1418,5BZQJ1007-0207,10 07 04.34,-02 07 10.88
1419,5BZQJ1007-1247,10 07 15.23,-12 47 45.99
1420,5BZQJ1007+5802,10 07 24.88,+58 02 03.51
1421,5BZQJ1007-3333,10 07 31.38,-33 33 06.69
1422,5BZQJ1007+1356,10 07 41.5,+13 56 29.61
1423,5BZBJ1008+0621,10 08 00.82,+06 21 21.2
1424,5BZBJ1008+4705,10 08 11.43,+47 05 21.4
1425,5BZQJ1008+0416,10 08 13.14,+04 16 39.68
1426,5BZQJ1008+4400,10 08 21.56,+44 00 16.48
1427,5BZBJ1009+0145,10 09 59.63,+01 45 33.58
1428,5BZUJ1010-0730,10 10 05.1,-07 30 21.7
1429,5BZQJ1010+8250,10 10 15.78,+82 50 14.38
1430,5BZBJ1010-3119,10 10 15.97,-31 19 08.5
1431,5BZQJ1010-0200,10 10 51.66,-02 00 19.58
1432,5BZQJ1010+3330,10 10 51.83,+33 30 17.78
1433,5BZBJ1011+0106,10 11 15.64,+01 06 42.51
1434,5BZQJ1011+4700,10 11 22.59,+47 00 42.19
1435,5BZQJ1011-0423,10 11 30.24,-04 23 27.7
1436,5BZQJ1011-3223,10 11 56.2,-32 23 36.09
1437,5BZQJ1012-3304,10 12 05.88,-33 04 15.99
1438,5BZBJ1012+0630,10 12 13.35,+06 30 57.2
1439,5BZQJ1012+2312,10 12 16.38,+23 12 14.61
1440,5BZQJ1012-3740,10 12 24.06,-37 40 05.91
1441,5BZQJ1012-4259,10 12 36.94,-42 59 05.31
1442,5BZQJ1012+2439,10 12 41.38,+24 39 23.4
1443,5BZBJ1012+4229,10 12 44.28,+42 29 57.01
1444,5BZGJ1012+3932,10 12 58.33,+39 32 38.79
1445,5BZQJ1013+3445,10 13 49.61,+34 45 50.79
1446,5BZQJ1013+2449,10 13 53.43,+24 49 16.39
1447,5BZQJ1014+2301,10 14 47.06,+23 01 16.6
1448,5BZBJ1015+4926,10 15 04.13,+49 26 00.7
1449,5BZBJ1015+1227,10 15 44.02,+12 27 07.09
1450,5BZQJ1015+5551,10 15 44.41,+55 51 00.5
1451,5BZQJ1015-1952,10 15 52.25,-19 52 26.61
1452,5BZQJ1015+0109,10 15 57.06,+01 09 13.71
1453,5BZQJ1016+0513,10 16 03.13,+05 13 02.31
1454,5BZQJ1016+2037,10 16 44.32,+20 37 47.31
1455,5BZQJ1017+6116,10 17 25.88,+61 16 27.51
1456,5BZBJ1018+1906,10 18 07.91,+19 06 15.51
1457,5BZQJ1018+3542,10 18 10.98,+35 42 39.38
1458,5BZQJ1018+0530,10 18 27.84,+05 30 29.98
1459,5BZQJ1018-3123,10 18 28.74,-31 23 53.8
1460,5BZGJ1018+3128,10 18 34.01,+31 28 33.99
1461,5BZBJ1018+5911,10 18 58.54,+59 11 27.88
1462,5BZBJ1019-2708,10 19 08.47,-27 08 55.71
1463,5BZBJ1019+6320,10 19 50.87,+63 20 01.6
1464,5BZQJ1019-0024,10 19 56.75,-00 24 09.79
1465,5BZGJ1020+6250,10 20 13.77,+62 50 10.1
1466,5BZBJ1021+1625,10 21 00.35,+16 25 54.01
1467,5BZUJ1021+4523,10 21 06.04,+45 23 31.88
1468,5BZQJ1021+3437,10 21 17.46,+34 37 21.68
1469,5BZBJ1021+3806,10 21 28.86,+38 06 43.3
1470,5BZBJ1021+1411,10 21 30.75,+14 11 37.39
1471,5BZGJ1022+5124,10 22 12.61,+51 24 00.28
1472,5BZQJ1022+4239,10 22 13.13,+42 39 25.59
1473,5BZQJ1022+3931,10 22 37.42,+39 31 50.48
1474,5BZBJ1022-0113,10 22 43.73,-01 13 02.09
1475,5BZQJ1023+2649,10 23 11.09,+26 49 41.7
1476,5BZQJ1023+3948,10 23 11.57,+39 48 15.4
1477,5BZQJ1023+2856,10 23 24.05,+28 56 51.0
1478,5BZQJ1023+3953,10 23 33.49,+39 53 12.69
1479,5BZBJ1023+3000,10 23 39.75,+30 00 57.7
1480,5BZBJ1023-4336,10 23 56.1,-43 36 02.48
1481,5BZQJ1024-3234,10 24 00.41,-32 34 16.1
1482,5BZQJ1024+1912,10 24 44.81,+19 12 20.41
1483,5BZBJ1024+2332,10 24 53.63,+23 32 34.0
1484,5BZQJ1025+4143,10 25 04.2,+41 43 32.41
1485,5BZBJ1025+0402,10 25 23.04,+04 02 29.0
1486,5BZQJ1025-0509,10 25 45.41,-05 09 54.1
1487,5BZQJ1025+1253,10 25 56.28,+12 53 48.98
1488,5BZQJ1026+2542,10 26 23.62,+25 42 59.39
1489,5BZUJ1026+6746,10 26 34.01,+67 46 11.99
1490,5BZBJ1026-8543,10 26 34.48,-85 43 14.3
1491,5BZBJ1026-1748,10 26 58.51,-17 48 58.5
1492,5BZBJ1026+5147,10 26 59.57,+51 47 03.8
1493,5BZBJ1027+0609,10 27 03.39,+06 09 33.91
1494,5BZQJ1027+4803,10 27 13.07,+48 03 13.5
1495,5BZBJ1027+6317,10 27 24.96,+63 17 53.01
1496,5BZBJ1027+3526,10 27 32.39,+35 26 22.09
1497,5BZQJ1028+0255,10 28 20.39,+02 55 22.4
1498,5BZGJ1028+0555,10 28 27.6,+05 55 15.2
1499,5BZQJ1028-0236,10 28 34.02,-02 36 59.61
1500,5BZQJ1028-0100,10 28 37.01,-01 00 27.5
1501,5BZQJ1028-0844,10 28 38.8,-08 44 38.5
1502,5BZGJ1028+1702,10 28 39.3,+17 02 10.89
1503,5BZQJ1029-1852,10 29 33.1,-18 52 50.3
1504,5BZUJ1030+3102,10 30 59.09,+31 02 55.71
1505,5BZBJ1031+5053,10 31 18.51,+50 53 35.8
1506,5BZUJ1031+7441,10 31 22.01,+74 41 58.3
1507,5BZQJ1031+6020,10 31 44.75,+60 20 30.4
1508,5BZQJ1032-1400,10 32 06.23,-14 00 19.51
1509,5BZBJ1032+0401,10 32 08.36,+04 01 56.99
1510,5BZBJ1032+0309,10 32 20.27,+03 09 49.21
1511,5BZBJ1032+6623,10 32 39.06,+66 23 23.2
1512,5BZBJ1032+3738,10 32 40.73,+37 38 26.8
1513,5BZQJ1032+6051,10 32 53.95,+60 51 27.61
1514,5BZQJ1033+4116,10 33 03.71,+41 16 06.2
1515,5BZGJ1033+4222,10 33 17.94,+42 22 36.4
1516,5BZQJ1033+3935,10 33 22.06,+39 35 51.1
1517,5BZUJ1033+0711,10 33 34.02,+07 11 26.08
1518,5BZBJ1033-1436,10 33 35.93,-14 36 27.68
1519,5BZQJ1033+6051,10 33 51.42,+60 51 07.3
1520,5BZQJ1035-2011,10 35 02.15,-20 11 34.4
1521,5BZQJ1035+5652,10 35 06.01,+56 52 58.0
1522,5BZBJ1035+0723,10 35 07.63,+07 23 38.5
1523,5BZQJ1035+3756,10 35 51.17,+37 56 41.71
1524,5BZQJ1036+1440,10 36 03.71,+14 40 45.01
1525,5BZQJ1036+2203,10 36 32.98,+22 03 12.2
1526,5BZBJ1036+1233,10 36 40.34,+12 33 38.7
1527,5BZQJ1036-0605,10 36 47.57,-06 05 41.2
1528,5BZQJ1036-3744,10 36 53.44,-37 44 15.1
1529,5BZQJ1037-2934,10 37 16.08,-29 34 02.78
1530,5BZQJ1037+0424,10 37 39.34,+04 24 01.69
1531,5BZQJ1037-2823,10 37 42.46,-28 23 04.09
1532,5BZBJ1037+5711,10 37 44.29,+57 11 55.71
1533,5BZQJ1038-4325,10 38 14.7,-43 25 45.91
1534,5BZBJ1038+3927,10 38 45.88,+39 27 34.99
1535,5BZQJ1038+0512,10 38 46.78,+05 12 29.08
1536,5BZQJ1039-1541,10 39 06.71,-15 41 06.68
1537,5BZBJ1040+0947,10 40 29.01,+09 47 54.2
1538,5BZQJ1041+0610,10 41 17.15,+06 10 16.89
1539,5BZGJ1041+1324,10 41 25.62,+13 24 58.39
1540,5BZQJ1041-4740,10 41 44.63,-47 40 00.08
1541,5BZQJ1041+5233,10 41 46.78,+52 33 28.18
1542,5BZGJ1041+3901,10 41 49.14,+39 01 19.48
1543,5BZQJ1042-4143,10 42 44.4,-41 43 25.89
1544,5BZBJ1042+1513,10 42 55.43,+15 13 14.91
1545,5BZQJ1043+2408,10 43 09.04,+24 08 35.41
1546,5BZBJ1043+0653,10 43 23.88,+06 53 10.1
1547,5BZQJ1044+2959,10 44 06.34,+29 59 00.99
1548,5BZQJ1044+5322,10 44 10.67,+53 22 20.49
1549,5BZQJ1044+6037,10 44 18.2,+60 37 01.81
1550,5BZQJ1044+8054,10 44 23.05,+80 54 39.38
1551,5BZQJ1045+0624,10 45 52.73,+06 24 36.5
1552,5BZQJ1046+5354,10 46 24.04,+53 54 26.2
1553,5BZBJ1046-2535,10 46 51.43,-25 35 47.18
1554,5BZQJ1047-1308,10 47 03.93,-13 08 32.38
1555,5BZQJ1047+4835,10 47 32.27,+48 35 30.91
1556,5BZQJ1047+2635,10 47 36.68,+26 35 27.49
1557,5BZBJ1047+5437,10 47 45.82,+54 37 41.01
1558,5BZBJ1047+7238,10 47 47.52,+72 38 12.98
1559,5BZQJ1048-1909,10 48 06.61,-19 09 35.71
1560,5BZUJ1048+7143,10 48 27.61,+71 43 35.9
1561,5BZGJ1048+5009,10 48 57.6,+50 09 45.39
1562,5BZUJ1049+2338,10 49 00.24,+23 38 21.08
1563,5BZQJ1049+3737,10 49 09.83,+37 37 59.01
1564,5BZQJ1049-2231,10 49 21.87,-22 31 07.5
1565,5BZBJ1049+1548,10 49 39.34,+15 48 37.79
1566,5BZQJ1050+0432,10 50 10.06,+04 32 48.98
1567,5BZQJ1050-3517,10 50 53.41,-35 17 44.91
1568,5BZQJ1050+3430,10 50 58.12,+34 30 10.9
1569,5BZQJ1051+2027,10 51 01.37,+20 27 20.01
1570,5BZQJ1051-3138,10 51 04.78,-31 38 14.31
1571,5BZUJ1051+4644,10 51 15.9,+46 44 17.41
1572,5BZBJ1051+3943,10 51 25.36,+39 43 25.71
1573,5BZQJ1051+2119,10 51 48.78,+21 19 52.28
1574,5BZBJ1051+0103,10 51 51.83,+01 03 10.79
1575,5BZGJ1052+4241,10 52 04.13,+42 41 53.19
1576,5BZQJ1053-0014,10 53 42.22,-00 14 20.18
1577,5BZGJ1053+4929,10 53 44.13,+49 29 56.0
1578,5BZQJ1053+5401,10 53 57.05,+54 01 49.0
1579,5BZBJ1054+2210,10 54 30.61,+22 10 54.8
1580,5BZQJ1054+3855,10 54 31.9,+38 55 21.68
1581,5BZQJ1054-0713,10 54 41.0,-07 13 26.18
1582,5BZBJ1055-0126,10 55 34.36,-01 26 16.18
1583,5BZGJ1056+0252,10 56 06.6,+02 52 13.51
1584,5BZQJ1056+7011,10 56 53.62,+70 11 45.88
1585,5BZBJ1057+2303,10 57 23.09,+23 03 18.79
1586,5BZQJ1057-2342,10 57 24.42,-23 42 01.69
1587,5BZBJ1057-2754,10 57 50.77,-27 54 10.79
1588,5BZBJ1057-0059,10 57 52.79,-00 59 08.48
1589,5BZQJ1057-2509,10 57 54.12,-25 09 29.08
1590,5BZQJ1057-2433,10 57 55.4,-24 33 48.88
1591,5BZQJ1058-3024,10 58 00.42,-30 24 55.0
1592,5BZBJ1058+4304,10 58 02.92,+43 04 41.48
1593,5BZQJ1058-0309,10 58 11.01,-03 09 27.28
1594,5BZQJ1058+8114,10 58 11.53,+81 14 32.71
1595,5BZQJ1058+1951,10 58 17.89,+19 51 50.9
1596,5BZUJ1058+0133,10 58 29.61,+01 33 58.78
1597,5BZBJ1058+2817,10 58 29.88,+28 17 46.21
1598,5BZBJ1058+5628,10 58 37.73,+56 28 11.2
1599,5BZBJ1058-8003,10 58 43.31,-80 03 54.21
1600,5BZBJ1059-1134,10 59 12.42,-11 34 22.8
1601,5BZQJ1059+2057,10 59 39.04,+20 57 21.99
1602,5BZGJ1059+4343,10 59 50.84,+43 43 15.31
1603,5BZUJ1059+4051,10 59 51.9,+40 51 13.89
1604,5BZGJ1100+4210,11 00 21.0,+42 10 53.11
1605,5BZBJ1100+4019,11 00 21.06,+40 19 27.98
1606,5BZQJ1100-4249,11 00 50.21,-42 49 14.69
1607,5BZBJ1101+4108,11 01 24.72,+41 08 47.4
1608,5BZQJ1101+7225,11 01 48.81,+72 25 37.09
1609,5BZQJ1101+6241,11 01 53.45,+62 41 50.6
1610,5BZQJ1102-4404,11 02 04.82,-44 04 22.9
1611,5BZQJ1102+2757,11 02 14.28,+27 57 08.71
1612,5BZBJ1102+3801,11 02 22.93,+38 01 22.51
1613,5BZQJ1102+5941,11 02 42.76,+59 41 18.88
1614,5BZQJ1103+3014,11 03 13.3,+30 14 42.68
1615,5BZQJ1103-3251,11 03 31.53,-32 51 16.7
1616,5BZBJ1103-2329,11 03 37.61,-23 29 30.98
1617,5BZBJ1103-5357,11 03 52.21,-53 57 00.68
1618,5BZGJ1103+0022,11 03 56.17,+00 22 36.69
1619,5BZBJ1104+0730,11 04 24.06,+07 30 53.1
1620,5BZBJ1104+3812,11 04 27.3,+38 12 31.78
1621,5BZQJ1104-2431,11 04 46.18,-24 31 25.78
1622,5BZQJ1104+6038,11 04 53.69,+60 38 55.28
1623,5BZGJ1105+4653,11 05 07.07,+46 53 18.49
1624,5BZQJ1105-3928,11 05 11.08,-39 28 42.09
1625,5BZQJ1105-1813,11 05 19.12,-18 13 13.29
1626,5BZQJ1105+0202,11 05 38.99,+02 02 57.51
1627,5BZGJ1105+3946,11 05 53.81,+39 46 56.89
1628,5BZQJ1106+2812,11 06 07.25,+28 12 47.08
1629,5BZBJ1107+5010,11 07 04.78,+50 10 37.88
1630,5BZQJ1107-4449,11 07 08.69,-44 49 07.6
1631,5BZQJ1107+5219,11 07 25.82,+52 19 31.58
1632,5BZBJ1107+0222,11 07 35.9,+02 22 24.49
1633,5BZQJ1107+7232,11 07 41.71,+72 32 35.98
1634,5BZQJ1107-3043,11 07 44.13,-30 43 34.89
1635,5BZBJ1107+1502,11 07 48.06,+15 02 10.6
1636,5BZQJ1108+4330,11 08 23.47,+43 30 53.71
1637,5BZQJ1108+0811,11 08 37.51,+08 11 01.1
1638,5BZBJ1108+2615,11 08 44.76,+26 15 32.68
1639,5BZGJ1108+0202,11 08 45.48,+02 02 40.88
1640,5BZGJ1108-0149,11 08 58.42,-01 49 31.9
1641,5BZBJ1109+2411,11 09 16.18,+24 11 20.11
1642,5BZBJ1109+3736,11 09 38.5,+37 36 11.7
1643,5BZBJ1110-1835,11 10 27.77,-18 35 52.69
1644,5BZBJ1110+7133,11 10 37.59,+71 33 56.59
1645,5BZQJ1110+4403,11 10 46.34,+44 03 25.88
1646,5BZBJ1110+3539,11 10 56.83,+35 39 07.2
1647,5BZBJ1110+1704,11 10 57.18,+17 04 55.7
1648,5BZQJ1111+5227,11 11 05.87,+52 27 49.1
1649,5BZQJ1111+1530,11 11 18.54,+15 30 33.19
1650,5BZBJ1111+3452,11 11 30.89,+34 52 03.39
1651,5BZBJ1112+2608,11 12 07.94,+26 08 03.69
1652,5BZBJ1112+1751,11 12 24.59,+17 51 21.81
1653,5BZQJ1112-3745,11 12 36.81,-37 45 45.21
1654,5BZQJ1112+3446,11 12 38.76,+34 46 39.1
1655,5BZBJ1112-2712,11 12 39.31,-27 12 19.51
1656,5BZQJ1113-3549,11 13 01.48,-35 49 48.28
1657,5BZQJ1113+1442,11 13 58.69,+14 42 26.99
1658,5BZQJ1114-0816,11 14 32.54,-08 16 38.99
1659,5BZQJ1114-0247,11 14 39.65,-02 47 31.59
1660,5BZUJ1116+0829,11 16 09.96,+08 29 21.98
1661,5BZBJ1117+2014,11 17 06.24,+20 14 07.29
1662,5BZBJ1117+0006,11 17 17.51,+00 06 33.58
1663,5BZBJ1117+2548,11 17 40.4,+25 48 46.51
1664,5BZBJ1117+5355,11 17 57.23,+53 55 54.91
1665,5BZQJ1118-1232,11 18 17.14,-12 32 54.31
1666,5BZQJ1118-3054,11 18 20.61,-30 54 58.5
1667,5BZQJ1118-4634,11 18 26.95,-46 34 14.98
1668,5BZQJ1118+1234,11 18 57.3,+12 34 41.7
1669,5BZGJ1119+0900,11 19 08.94,+09 00 22.89
1670,5BZQJ1119+6004,11 19 14.34,+60 04 57.21
1671,5BZBJ1119-3047,11 19 39.59,-30 47 20.9
1672,5BZQJ1119+0410,11 19 42.82,+04 10 27.91
1673,5BZQJ1119+1656,11 19 52.43,+16 56 56.9
1674,5BZQJ1120-2719,11 20 16.19,-27 19 06.38
1675,5BZQJ1120+5404,11 20 23.3,+54 04 28.7
1676,5BZQJ1120+0704,11 20 38.44,+07 04 47.09
1677,5BZBJ1120+4212,11 20 48.06,+42 12 12.38
1678,5BZQJ1120-1420,11 20 55.56,-14 20 29.9
1679,5BZBJ1120+0144,11 20 59.75,+01 44 56.79
1680,5BZQJ1121-1722,11 21 20.81,-17 22 40.8
1681,5BZQJ1121-0553,11 21 25.11,-05 53 56.39
1682,5BZBJ1121-0711,11 21 42.12,-07 11 06.39
1683,5BZQJ1121-0442,11 21 43.11,-04 42 36.1
1684,5BZGJ1121+4314,11 21 56.7,+43 14 56.9
1685,5BZQJ1122-2532,11 22 05.74,-25 32 33.79
1686,5BZBJ1122+4316,11 22 11.81,+43 16 49.69
1687,5BZQJ1122+1805,11 22 29.7,+18 05 26.3
1688,5BZBJ1123+7229,11 23 49.16,+72 29 59.6
1689,5BZQJ1124-1501,11 24 02.57,-15 01 58.9
1690,5BZQJ1124+2336,11 24 02.7,+23 36 45.89
1691,5BZBJ1124+2045,11 24 05.34,+20 45 53.71
1692,5BZGJ1124+5133,11 24 13.17,+51 33 49.49
1693,5BZBJ1124+4934,11 24 53.82,+49 34 09.8
1694,5BZBJ1125+2143,11 25 03.64,+21 43 00.08
1695,5BZBJ1125-3557,11 25 31.48,-35 57 03.31
1696,5BZQJ1125+0001,11 25 42.3,+00 01 01.41
1697,5BZBJ1125-0742,11 25 51.99,-07 42 21.09
1698,5BZQJ1125+2610,11 25 53.7,+26 10 19.99
1699,5BZQJ1126+4516,11 26 57.65,+45 16 06.31
1700,5BZQJ1127-1857,11 27 04.38,-18 57 17.38
1701,5BZBJ1127+0555,11 27 36.53,+05 55 32.08
1702,5BZQJ1127+5650,11 27 40.13,+56 50 14.78
1703,5BZQJ1127+3620,11 27 58.86,+36 20 28.39
1704,5BZQJ1128+5925,11 28 13.33,+59 25 14.8
1705,5BZBJ1129+3756,11 29 03.23,+37 56 56.68
1706,5BZBJ1129+3703,11 29 14.31,+37 03 17.89
1707,5BZUJ1129-4435,11 29 31.72,-44 35 49.88
1708,5BZQJ1129-0240,11 29 52.93,-02 40 07.39
1709,5BZQJ1130-1449,11 30 07.05,-14 49 27.4
1710,5BZQJ1130+3815,11 30 53.28,+38 15 18.5
1711,5BZQJ1131+3114,11 31 09.47,+31 14 05.49
1712,5BZBJ1131+0234,11 31 15.47,+02 34 50.41
1713,5BZBJ1131+5808,11 31 18.64,+58 08 58.81
1714,5BZUJ1131-0500,11 31 30.52,-05 00 19.69
1715,5BZQJ1131-1628,11 31 36.74,-16 28 33.38
1716,5BZQJ1132+0914,11 32 32.68,+09 14 28.1
1717,5BZBJ1132+0237,11 32 34.37,+02 37 40.11
1718,5BZBJ1132+0034,11 32 45.61,+00 34 27.8
1719,5BZGJ1132+0515,11 32 55.97,+05 15 39.6
1720,5BZQJ1133+0015,11 33 03.02,+00 15 48.99
1721,5BZBJ1133-2501,11 33 15.36,-25 01 09.51
1722,5BZQJ1133+0040,11 33 20.05,+00 40 52.78
1723,5BZQJ1133-0905,11 33 35.99,-09 05 23.38
1724,5BZBJ1134-1729,11 34 44.69,-17 29 01.78
1725,5BZBJ1135+3200,11 35 03.56,+32 00 15.58
1726,5BZBJ1135+6609,11 35 23.7,+66 09 41.0
1727,5BZQJ1135-0428,11 35 58.22,-04 28 27.91
1728,5BZBJ1136+1601,11 36 17.54,+16 01 52.21
1729,5BZQJ1136-0330,11 36 24.58,-03 30 29.48
1730,5BZBJ1136+7009,11 36 26.4,+70 09 27.28
1731,5BZQJ1136+3407,11 36 27.35,+34 07 39.5
1732,5BZBJ1136+6737,11 36 30.1,+67 37 04.4
1733,5BZGJ1136+2550,11 36 50.09,+25 50 52.29
1734,5BZBJ1137-1710,11 37 55.61,-17 10 42.09
1735,5BZBJ1138+4113,11 38 12.14,+41 13 52.78
1736,5BZQJ1138+4745,11 38 21.13,+47 45 15.4
1737,5BZQJ1139-1552,11 39 29.58,-15 52 51.7
1738,5BZBJ1140+1528,11 40 23.47,+15 28 09.69
1739,5BZQJ1140+4622,11 40 47.9,+46 22 04.9
1740,5BZBJ1142+1547,11 42 07.73,+15 47 54.2
1741,5BZGJ1143+7304,11 43 04.94,+73 04 09.19
1742,5BZQJ1143+1843,11 43 06.03,+18 43 42.81
1743,5BZBJ1143+6122,11 43 12.11,+61 22 10.81
1744,5BZQJ1143+6633,11 43 41.59,+66 33 31.21
1745,5BZBJ1143+5102,11 43 57.6,+51 02 36.88
1746,5BZQJ1145+0455,11 45 21.31,+04 55 26.68
1747,5BZQJ1145-2250,11 45 22.04,-22 50 31.3
1748,5BZGJ1145-0340,11 45 35.1,-03 40 01.7
1749,5BZQJ1145-6954,11 45 53.62,-69 54 01.79
1750,5BZQJ1146-2447,11 46 08.09,-24 47 32.89
1751,5BZQJ1146-2859,11 46 26.19,-28 59 18.49
1752,5BZQJ1146+5848,11 46 26.9,+58 48 34.3
1753,5BZQJ1146+5356,11 46 44.2,+53 56 43.11
1754,5BZQJ1146+3958,11 46 58.3,+39 58 34.28
1755,5BZBJ1147-3812,11 47 01.37,-38 12 11.01
1756,5BZGJ1147+3501,11 47 22.13,+35 01 07.49
1757,5BZQJ1147-6753,11 47 33.4,-67 53 41.78
1758,5BZQJ1147-0724,11 47 51.54,-07 24 41.11
1759,5BZGJ1147+2205,11 47 55.14,+22 05 41.71
1760,5BZQJ1147+2635,11 47 59.76,+26 35 42.28
1761,5BZQJ1148+5654,11 48 03.18,+56 54 11.69
1762,5BZBJ1148+1840,11 48 37.77,+18 40 09.01
1763,5BZGJ1148+5924,11 48 50.35,+59 24 56.41
1764,5BZQJ1148-0404,11 48 55.87,-04 04 09.58
1765,5BZQJ1148+5254,11 48 56.57,+52 54 25.3
1766,5BZBJ1149+6243,11 49 26.14,+62 43 32.48
1767,5BZBJ1149+2439,11 49 30.35,+24 39 26.78
1768,5BZBJ1149+1035,11 49 55.67,+10 35 08.08
1769,5BZGJ1150+5528,11 50 00.07,+55 28 21.39
1770,5BZQJ1150+4332,11 50 16.6,+43 32 05.89
