,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
205,5BZBJ0115-3400,01 15 01.72,-34 00 27.21
206,5BZQJ0115-0127,01 15 17.1,-01 27 04.6
207,5BZQJ0115-2804,01 15 23.87,-28 04 55.2
208,5BZBJ0115+0356,01 15 40.5,+03 56 43.29
209,5BZBJ0115+2519,01 15 46.14,+25 19 53.39
210,5BZQJ0115-3049,01 15 46.42,-30 49 19.09
211,5BZQJ0116-1136,01 16 12.52,-11 36 15.4
212,5BZBJ0116-6153,01 16 19.61,-61 53 43.51
213,5BZQJ0117+1418,01 17 25.2,+14 18 12.38
214,5BZQJ0117-3357,01 17 44.59,-33 57 05.0
215,5BZBJ0117-2443,01 17 46.99,-24 43 33.7
216,5BZQJ0117-2111,01 17 48.78,-21 11 06.68
217,5BZQJ0118-2141,01 18 57.25,-21 41 30.08
218,5BZBJ0120-2701,01 20 31.66,-27 01 24.7
219,5BZQJ0121-2806,01 21 00.73,-28 06 22.1
220,5BZQJ0121+1127,01 21 28.99,+11 27 00.5
221,5BZQJ0121+1149,01 21 41.56,+11 49 50.59
222,5BZQJ0121+0422,01 21 56.86,+04 22 24.7
223,5BZQJ0122+0310,01 22 01.91,+03 10 02.49
224,5BZBJ0122+1510,01 22 27.37,+15 10 23.08
225,5BZQJ0122+2502,01 22 38.81,+25 02 31.81
226,5BZQJ0122-0935,01 22 48.06,-09 35 47.0
227,5BZBJ0123+3420,01 23 08.63,+34 20 48.51
228,5BZBJ0123-2310,01 23 38.34,-23 10 58.58
229,5BZGJ0123+4210,01 23 40.49,+42 10 06.81
230,5BZQJ0123+2615,01 23 43.03,+26 15 22.39
231,5BZBJ0124+3249,01 24 30.55,+32 49 46.3
232,5BZBJ0124+0918,01 24 44.52,+09 18 49.28
233,5BZBJ0124-0625,01 24 50.47,-06 25 00.91
234,5BZQJ0124+2805,01 24 55.87,+28 05 11.4
235,5BZQJ0124-5113,01 24 57.35,-51 13 16.49
236,5BZQJ0125+0146,01 25 05.5,+01 46 26.9
237,5BZBJ0125-2549,01 25 18.83,-25 49 04.4
238,5BZQJ0125-0005,01 25 28.84,-00 05 55.89
239,5BZQJ0126-2222,01 26 15.0,-22 22 33.6
240,5BZQJ0126+2559,01 26 42.78,+25 59 01.21
241,5BZBJ0126+3307,01 26 57.23,+33 07 30.28
242,5BZBJ0127-8108,01 27 10.2,-81 08 20.68
243,5BZBJ0127-0151,01 27 11.06,-01 51 53.78
244,5BZBJ0127-0821,01 27 16.31,-08 21 28.9
245,5BZBJ0127-0013,01 27 50.82,-00 13 46.59
246,5BZGJ0128+4901,01 28 08.05,+49 01 05.98
247,5BZUJ0128+4439,01 28 41.33,+44 39 18.0
248,5BZQJ0130-1019,01 30 08.89,-10 19 07.71
249,5BZQJ0130+0842,01 30 27.64,+08 42 46.18
250,5BZBJ0131+6120,01 31 07.23,+61 20 33.39
251,5BZQJ0131+3834,01 31 26.7,+38 34 39.21
252,5BZQJ0132-1654,01 32 43.47,-16 54 48.38
253,5BZUJ0133-5200,01 33 05.76,-52 00 03.88
254,5BZBJ0133-4414,01 33 06.36,-44 14 21.4
255,5BZBJ0134+2638,01 34 28.19,+26 38 42.9
256,5BZQJ0134-3843,01 34 32.03,-38 43 33.38
257,5BZQJ0135-2008,01 35 37.5,-20 08 45.88
258,5BZQJ0136-4044,01 36 06.61,-40 44 19.89
259,5BZBJ0136+3905,01 36 32.58,+39 05 59.2
260,5BZQJ0136+4751,01 36 58.59,+47 51 29.08
261,5BZQJ0137+3122,01 37 08.72,+31 22 35.79
262,5BZQJ0137-2430,01 37 38.34,-24 30 53.89
263,5BZBJ0137+5814,01 37 50.46,+58 14 11.29
264,5BZQJ0138-2711,01 38 09.82,-27 11 27.88
265,5BZBJ0138-1754,01 38 11.69,-17 54 13.6
266,5BZQJ0138-0540,01 38 51.84,-05 40 08.18
267,5BZQJ0138-2254,01 38 57.47,-22 54 47.3
268,5BZQJ0140-1532,01 40 04.43,-15 32 55.71
269,5BZBJ0140-0758,01 40 40.86,-07 58 49.11
270,5BZBJ0141-0928,01 41 25.82,-09 28 43.71
271,5BZQJ0141-0202,01 41 33.78,-02 02 21.51
272,5BZUJ0141+3923,01 41 57.75,+39 23 29.18
273,5BZBJ0142-0544,01 42 38.87,-05 44 01.28
274,5BZQJ0143+4129,01 43 03.17,+41 29 20.39
275,5BZUJ0143-3200,01 43 10.13,-32 00 56.69
276,5BZQJ0143-6813,01 43 19.21,-68 13 27.19
277,5BZBJ0143-5845,01 43 47.41,-58 45 51.4
278,5BZBJ0144+2705,01 44 33.54,+27 05 03.08
279,5BZQJ0145-2733,01 45 03.39,-27 33 34.3
280,5BZGJ0146-0551,01 46 16.2,-05 51 10.58
281,5BZQJ0146-2727,01 46 40.27,-27 27 40.21
282,5BZGJ0146-5202,01 46 48.58,-52 02 33.5
283,5BZQJ0148+3854,01 48 24.37,+38 54 05.18
284,5BZGJ0148+1402,01 48 29.7,+14 02 17.98
285,5BZBJ0148+0129,01 48 33.78,+01 29 01.28
286,5BZQJ0148+4215,01 48 44.57,+42 15 19.4
287,5BZQJ0149+0555,01 49 22.37,+05 55 53.61
288,5BZQJ0149+1857,01 49 49.72,+18 57 20.59
289,5BZQJ0151-3435,01 51 23.48,-34 35 13.88
290,5BZQJ0151+2744,01 51 27.14,+27 44 41.78
291,5BZQJ0152+2207,01 52 18.06,+22 07 07.71
292,5BZQJ0152-1412,01 52 31.99,-14 12 39.38
293,5BZQJ0152-2942,01 52 33.68,-29 42 47.91
294,5BZGJ0152+0147,01 52 39.59,+01 47 17.19
295,5BZBJ0153+7517,01 53 07.36,+75 17 42.79
296,5BZQJ0153-3310,01 53 10.12,-33 10 25.89
297,5BZGJ0153+7115,01 53 25.85,+71 15 06.51
298,5BZGJ0153-0118,01 53 34.32,-01 18 08.38
299,5BZBJ0154+0823,01 54 02.76,+08 23 51.1
300,5BZQJ0154-5107,01 54 19.64,-51 07 51.49
301,5BZQJ0154-1346,01 54 29.34,-13 46 35.5
302,5BZBJ0154+4433,01 54 54.46,+44 33 37.9
303,5BZQJ0154+4743,01 54 56.28,+47 43 26.5
304,5BZQJ0155+0438,01 55 03.72,+04 38 30.3
305,5BZQJ0155+2230,01 55 58.93,+22 30 11.91
306,5BZBJ0156-5302,01 56 58.0,-53 01 59.98
307,5BZQJ0157+7442,01 57 34.96,+74 42 43.2
308,5BZQJ0157-4614,01 57 51.12,-46 14 23.2
309,5BZBJ0158-3932,01 58 38.11,-39 32 03.8
310,5BZUJ0158+0101,01 58 52.77,+01 01 32.8
311,5BZBJ0159+1047,01 59 34.38,+10 47 05.49
312,5BZBJ0159-2740,01 59 43.34,-27 40 38.2
313,5BZQJ0159-5143,01 59 59.79,-51 43 34.71
314,5BZBJ0200+2712,02 00 29.45,+27 12 37.79
315,5BZBJ0201+0034,02 01 06.18,+00 34 00.19
316,5BZQJ0202+3943,02 02 01.66,+39 43 21.61
317,5BZGJ0202-0559,02 02 06.85,-05 59 00.09
318,5BZQJ0202-1948,02 02 13.85,-19 48 19.51
319,5BZBJ0202+0849,02 02 26.4,+08 49 13.58
320,5BZBJ0202+4205,02 02 43.65,+42 05 16.29
321,5BZBJ0203+7232,02 03 33.37,+72 32 53.69
322,5BZBJ0203+3042,02 03 44.27,+30 42 37.79
323,5BZQJ0203+1134,02 03 46.66,+11 34 45.4
324,5BZGJ0204+4005,02 04 05.2,+40 05 03.51
325,5BZBJ0204-3333,02 04 12.78,-33 33 41.11
326,5BZUJ0204+1514,02 04 50.4,+15 14 11.0
327,5BZQJ0204-5146,02 04 50.97,-51 46 58.9
328,5BZQJ0204-1701,02 04 57.66,-17 01 19.81
329,5BZQJ0205+3212,02 05 04.92,+32 12 30.09
330,5BZQJ0205+1444,02 05 13.12,+14 44 32.38
331,5BZQJ0205+3932,02 05 13.99,+39 32 57.01
332,5BZQJ0206-1150,02 06 26.08,-11 50 39.69
333,5BZQJ0206-6143,02 06 40.0,-61 43 32.19
334,5BZBJ0207-6837,02 07 50.93,-68 37 55.2
335,5BZQJ0208-6216,02 08 01.16,-62 16 35.5
336,5BZBJ0208-0047,02 08 26.34,-00 47 44.41
337,5BZBJ0208+3523,02 08 38.16,+35 23 12.91
338,5BZBJ0209+4449,02 09 16.9,+44 49 46.88
339,5BZBJ0209-5229,02 09 21.6,-52 29 22.59
340,5BZQJ0209-0438,02 09 30.77,-04 38 26.08
341,5BZQJ0209+1352,02 09 35.99,+13 52 00.69
342,5BZUJ0209+7229,02 09 51.78,+72 29 26.7
343,5BZQJ0210-1003,02 10 00.2,-10 03 54.21
344,5BZUJ0210-5101,02 10 46.19,-51 01 01.88
345,5BZBJ0211+1051,02 11 13.18,+10 51 34.81
346,5BZUJ0211-1558,02 11 49.75,-15 58 18.91
347,5BZBJ0212-3503,02 12 30.51,-35 03 30.38
348,5BZBJ0212+2244,02 12 52.81,+22 44 52.0
